ax,ay,az,gx,gy,gz
-1.276 , -9.7461 , -1.0315 , 0.0058 , 0.0278 , 0.0207
-1.3646 , -9.703 , -0.835 , 0.001 , -0.0009 , -0.0
-1.2352 , -9.7629 , -0.8374 , -0.0118 , -0.0105 , 0.0063
-1.3718 , -9.727 , -0.9165 , -0.0033 , 0.031 , 0.0122
-1.2951 , -9.7365 , -0.9332 , -0.0166 , -0.0297 , -0.0022
-1.343 , -9.7246 , -0.938 , -0.0011 , -0.0046 , 0.0074
-1.2352 , -9.7341 , -0.9308 , 0.0021 , -0.0153 , -0.0022
-1.3263 , -9.7533 , -0.9093 , -0.0155 , -0.011 , 0.0095
-1.331 , -9.715 , -1.0051 , 0.0223 , -0.0212 , -0.0038
-1.3023 , -9.7102 , -0.8877 , -0.007 , -0.0036 , 0.0127
-1.331 , -9.7174 , -0.9428 , 0.0101 , -0.01 , -0.0118
-1.2424 , -9.7222 , -0.9404 , -0.0128 , 0.0619 , 0.017
-1.331 , -9.7198 , -1.0746 , 0.0148 , -0.06 , -0.007
-1.3167 , -9.7413 , -0.9404 , -0.0118 , 0.0039 , 0.001
-1.4077 , -9.7318 , -0.9835 , -0.0054 , -0.0089 , -0.0
-1.379 , -9.7222 , -0.9596 , -0.0006 , 0.0156 , 0.001
-1.3047 , -9.7078 , -0.8638 , -0.0118 , 0.0129 , 0.0047
-1.4125 , -9.7126 , -1.041 , 0.0021 , -0.0286 , -0.0
-1.2688 , -9.7653 , -0.95 , 0.0053 , -0.0169 , 0.001
-1.458 , -9.7294 , -1.1512 , 0.0031 , 0.023 , 0.0037
-1.2879 , -9.7485 , -0.8135 , 0.0005 , 0.0044 , -0.0006
-1.4101 , -9.7006 , -1.0051 , 0.0037 , -0.0212 , -0.0118
-1.343 , -9.7318 , -0.9811 , -0.0049 , 0.0342 , -0.0016
-1.3814 , -9.727 , -0.974 , 0.0063 , -0.0845 , -0.0027
-1.3478 , -9.703 , -1.0698 , 0.0095 , 0.0071 , 0.0015
-1.3694 , -9.6982 , -0.8662 , -0.0262 , -0.0291 , -0.0032
-1.3885 , -9.7006 , -1.0147 , 0.0143 , -0.0052 , -0.0075
-1.3957 , -9.7102 , -1.053 , 0.034 , 0.0145 , 0.0079
-1.4005 , -9.727 , -1.0338 , -0.0011 , 0.0044 , -0.0032
-1.3454 , -9.6934 , -0.9237 , 0.0021 , -0.0254 , -0.0038
-1.4556 , -9.7006 , -1.0243 , -0.0182 , 0.0598 , 0.0042
-1.355 , -9.7294 , -0.8518 , -0.0011 , -0.051 , -0.0059
-1.3119 , -9.7246 , -1.0051 , 0.0159 , -0.0015 , 0.0074
-1.3358 , -9.715 , -1.0027 , -0.0006 , -0.0531 , -0.0059
-1.3143 , -9.727 , -0.8638 , 0.0026 , 0.0465 , -0.0011
-1.3694 , -9.7294 , -1.0267 , -0.0262 , 0.0023 , 0.0085
-1.2783 , -9.7701 , -1.0674 , 0.0143 , -0.01 , -0.0064
-1.3215 , -9.7198 , -0.9141 , 0.0223 , 0.0694 , 0.0149
-1.367 , -9.7389 , -1.0315 , -0.0256 , -0.0339 , -0.0139
-1.3287 , -9.6886 , -0.8757 , 0.0058 , 0.0321 , 0.0037
-1.3981 , -9.6886 , -1.0027 , 0.0053 , 0.006 , 0.0015
