ax,ay,az,gx,gy,gz
3.2491 , -3.1059 , 8.8355 , -0.0022 , 0.0013 , 0.0007
3.2946 , -3.149 , 8.8092 , 0.0005 , -0.0003 , 0.0007
3.2826 , -3.1154 , 8.79 , -0.0027 , 0.0034 , 0.0013
3.2683 , -3.149 , 8.8116 , -0.0011 , 0.0013 , -0.0014
3.3066 , -3.1154 , 8.8283 , 0.0015 , 0.0018 , 0.0013
3.297 , -3.1274 , 8.8116 , -0.0033 , -0.0014 , 0.0039
3.2779 , -3.1154 , 8.8451 , 0.0005 , 0.0018 , 0.005
3.2946 , -3.1083 , 8.8044 , 0.0005 , 0.004 , 0.0002
3.3018 , -3.0963 , 8.802 , -0.0001 , -0.0003 , -0.0003
3.2779 , -3.149 , 8.8068 , 0.0021 , 0.0029 , -0.0003
3.3186 , -3.0987 , 8.7541 , 0.0021 , 0.0002 , 0.0007
3.285 , -3.1394 , 8.8499 , 0.0031 , 0.005 , -0.0035
3.2779 , -3.1154 , 8.7637 , 0.0021 , 0.0013 , 0.0002
3.285 , -3.1777 , 8.8307 , 0.0026 , 0.0061 , -0.0051
3.2826 , -3.1083 , 8.79 , -0.0006 , -0.0014 , 0.0013
3.285 , -3.1106 , 8.814 , -0.0006 , 0.0034 , 0.0018
3.297 , -3.1466 , 8.7924 , 0.0015 , 0.0045 , -0.0003
3.309 , -3.137 , 8.881 , -0.0001 , 0.0034 , 0.0002
3.3066 , -3.149 , 8.7972 , -0.0001 , 0.0002 , 0.0007
3.2922 , -3.1466 , 8.79 , 0.0031 , 0.0077 , 0.0007
3.3066 , -3.149 , 8.7589 , 0.0021 , 0.0002 , -0.0014
3.2802 , -3.0867 , 8.7828 , 0.0005 , 0.0024 , -0.0003
3.3186 , -3.1657 , 8.778 , 0.001 , 0.0018 , 0.0013
3.285 , -3.161 , 8.7948 , 0.0021 , 0.0034 , 0.0018
3.2587 , -3.137 , 8.7804 , 0.0021 , 0.0018 , -0.0009
3.2922 , -3.1514 , 8.8164 , -0.0017 , 0.0002 , 0.0013
3.3114 , -3.1298 , 8.7756 , -0.0006 , 0.0029 , -0.0035
3.2755 , -3.1969 , 8.8092 , -0.0011 , -0.0056 , 0.0007
3.3377 , -3.1322 , 8.8044 , -0.0006 , 0.0034 , 0.0007
3.2994 , -3.1442 , 8.7876 , 0.0026 , 0.0088 , -0.0003
3.2826 , -3.1226 , 8.8116 , -0.0001 , 0.0034 , -0.0003
3.3186 , -3.125 , 8.79 , -0.0001 , -0.0035 , -0.0014
3.309 , -3.1514 , 8.7756 , 0.001 , 0.004 , -0.0019
3.2587 , -3.149 , 8.7684 , 0.0036 , 0.0029 , -0.0019
3.2994 , -3.1298 , 8.8499 , -0.0006 , 0.0029 , 0.0002
3.321 , -3.1538 , 8.8283 , 0.0005 , 0.0013 , 0.0045
3.2707 , -3.1083 , 8.8068 , 0.0005 , 0.0061 , 0.0018
3.3449 , -3.1106 , 8.7924 , -0.0006 , 0.0056 , 0.0029
3.2802 , -3.0915 , 8.8116 , 0.0005 , 0.0024 , -0.0019
3.3353 , -3.1466 , 8.7661 , -0.0006 , 0.0008 , 0.0002
