activity,ax,ay,az,gx,gy,gz
sitting , 9.5828 , -1.3476 , 0.643 , 0.0019 , 0.0113 , 0.0145
sitting , 9.6067 , -1.3572 , 0.6095 , 0.0077 , 0.0155 , 0.0135
sitting , 9.6522 , -1.3572 , 0.5927 , 0.0024 , 0.0251 , 0.0076
sitting , 9.6426 , -1.3212 , 0.5687 , 0.0029 , 0.0123 , 0.0039
sitting , 9.6043 , -1.3955 , 0.6645 , -0.0002 , 0.0097 , -0.0046
sitting , 9.6235 , -1.3715 , 0.5544 , 0.0035 , -0.0042 , -0.002
sitting , 9.6211 , -1.3404 , 0.552 , 0.0024 , 0.0081 , -0.0068
sitting , 9.6283 , -1.3859 , 0.6262 , 0.0024 , 0.0011 , -0.0041
sitting , 9.5947 , -1.3332 , 0.6238 , 0.0003 , -0.0005 , -0.0062
sitting , 9.6307 , -1.3524 , 0.5999 , 0.0051 , -0.0186 , -0.0084
sitting , 9.6043 , -1.3284 , 0.6286 , 0.0035 , -0.0036 , -0.0068
sitting , 9.6474 , -1.3931 , 0.6262 , 0.0019 , 0.0086 , -0.0046
sitting , 9.6187 , -1.3955 , 0.6837 , -0.0024 , -0.0005 , 0.0012
sitting , 9.657 , -1.4218 , 0.6598 , 0.0045 , -0.0047 , -0.0036
sitting , 9.6331 , -1.3763 , 0.6526 , 0.0029 , -0.0116 , -0.0014
sitting , 9.6259 , -1.3955 , 0.6574 , 0.004 , -0.0196 , -0.0073
sitting , 9.6331 , -1.3548 , 0.5975 , -0.0008 , 0.0459 , -0.0014
sitting , 9.6139 , -1.3739 , 0.5975 , 0.004 , 0.0118 , -0.0062
sitting , 9.6019 , -1.3572 , 0.655 , 0.0072 , -0.0457 , -0.0089
sitting , 9.6259 , -1.35 , 0.6238 , 0.0019 , 0.0001 , -0.0004
sitting , 9.6283 , -1.3787 , 0.5999 , 0.004 , 0.0294 , 0.0071
sitting , 9.6187 , -1.3164 , 0.5759 , 0.004 , 0.0113 , -0.0025
sitting , 9.5899 , -1.35 , 0.631 , 0.0067 , -0.001 , 0.0018
sitting , 9.657 , -1.3404 , 0.552 , 0.004 , 0.0091 , 0.0055
sitting , 9.6474 , -1.35 , 0.5807 , 0.0061 , 0.0464 , 0.014
sitting , 9.6283 , -1.3763 , 0.5544 , 0.004 , 0.024 , 0.0012
sitting , 9.6642 , -1.3596 , 0.5088 , 0.0024 , -0.0036 , -0.0014
sitting , 9.6235 , -1.3524 , 0.5807 , 0.0067 , -0.0026 , 0.0018
sitting , 9.6259 , -1.3572 , 0.6334 , 0.0003 , 0.0033 , 0.0007
sitting , 9.657 , -1.2877 , 0.4609 , 0.004 , -0.0031 , -0.0036
sitting , 9.6259 , -1.3284 , 0.5017 , 0.0003 , 0.0075 , -0.0009
sitting , 9.6355 , -1.3452 , 0.5088 , 0.0035 , 0.0246 , 0.005
sitting , 9.6402 , -1.3524 , 0.5591 , 0.0014 , 0.0022 , 0.0071
sitting , 9.6474 , -1.3332 , 0.5136 , 0.0056 , -0.0116 , 0.0044
sitting , 9.6331 , -1.3116 , 0.4993 , 0.0014 , 0.0326 , 0.0012
sitting , 9.6163 , -1.3476 , 0.5735 , 0.0024 , 0.0139 , 0.0039
sitting , 9.6283 , -1.3236 , 0.5951 , 0.0003 , 0.0011 , 0.0023
sitting , 9.5899 , -1.338 , 0.5472 , 0.0056 , 0.0065 , -0.002
sitting , 9.681 , -1.35 , 0.5472 , 0.0008 , 0.0054 , 0.0039
sitting , 9.657 , -1.3284 , 0.5376 , 0.004 , -0.0015 , 0.0002
sitting , 9.6331 , -1.3332 , 0.5232 , 0.0003 , 0.0171 , 0.0007
sitting , 9.5947 , -1.2829 , 0.5184 , 0.004 , 0.007 , 0.0007
sitting , 9.6355 , -1.3404 , 0.54 , 0.0014 , 0.0129 , 0.0002
sitting , 9.6331 , -1.3619 , 0.54 , 0.0035 , 0.0134 , -0.0009
sitting , 9.657 , -1.3619 , 0.4729 , 0.0019 , 0.007 , 0.0002
sitting , 9.5804 , -1.3787 , 0.5879 , 0.0051 , 0.007 , -0.002
sitting , 9.6882 , -1.3332 , 0.5544 , 0.0035 , 0.0054 , -0.0004
sitting , 9.6283 , -1.3428 , 0.5256 , 0.0019 , -0.0079 , 0.0002
sitting , 9.6283 , -1.3452 , 0.4969 , 0.0024 , 0.0102 , 0.0034
sitting , 9.6642 , -1.3164 , 0.5615 , 0.0024 , 0.0075 , -0.003
sitting , 9.6738 , -1.3356 , 0.5352 , 0.0019 , -0.001 , -0.0004
sitting , 9.6259 , -1.3811 , 0.5544 , 0.0035 , 0.0102 , -0.0004
sitting , 9.6426 , -1.3524 , 0.5232 , 0.0035 , 0.0054 , -0.0046
sitting , 9.5851 , -1.3428 , 0.5591 , 0.0024 , 0.0075 , 0.0018
sitting , 9.6307 , -1.3907 , 0.528 , 0.0029 , 0.0161 , 0.005
sitting , 9.6163 , -1.326 , 0.5184 , 0.0014 , 0.0086 , 0.0023
sitting , 9.6618 , -1.3596 , 0.5927 , 0.004 , 0.0091 , 0.0002
sitting , 9.5684 , -1.3356 , 0.5711 , 0.0045 , -0.0122 , -0.003
sitting , 9.6834 , -1.3572 , 0.5136 , -0.0013 , 0.0113 , -0.003
sitting , 9.6043 , -1.3548 , 0.5663 , 0.0003 , 0.007 , -0.0068
sitting , 9.5899 , -1.3739 , 0.5232 , 0.0051 , 0.0065 , -0.0014
sitting , 9.6235 , -1.3524 , 0.5112 , 0.004 , 0.023 , 0.0055
sitting , 9.6235 , -1.3907 , 0.4897 , 0.0051 , 0.0107 , 0.0066
sitting , 9.5923 , -1.3476 , 0.528 , 0.0019 , 0.0038 , -0.003
sitting , 9.6355 , -1.3404 , 0.5088 , 0.0029 , 0.0107 , 0.0002
sitting , 9.6402 , -1.3787 , 0.552 , 0.0051 , -0.0047 , -0.0004
