activity,ax,ay,az,gx,gy,gz
standing , 2.2047 , -9.5114 , -0.9189 , -0.0002 , -0.0202 , 0.005
standing , 2.2191 , -9.5138 , -0.9404 , -0.0056 , -0.0324 , -0.002
standing , 2.3292 , -9.5066 , -0.8374 , 0.0014 , 0.0475 , 0.0071
standing , 2.2238 , -9.5257 , -0.9404 , 0.0035 , 0.0107 , -0.0068
standing , 2.2358 , -9.5066 , -0.9045 , -0.0066 , 0.0411 , 0.0044
standing , 2.1759 , -9.588 , -0.9213 , -0.0029 , 0.0209 , 0.0034
standing , 2.1999 , -9.5162 , -0.974 , 0.0008 , 0.048 , 0.0113
standing , 2.1879 , -9.5497 , -0.962 , 0.0099 , 0.0784 , -0.0009
standing , 2.1783 , -9.5401 , -0.9524 , -0.0029 , -0.0154 , -0.0004
standing , 2.2047 , -9.6024 , -1.0051 , 0.0152 , -0.0095 , -0.0089
standing , 2.0993 , -9.5545 , -0.9572 , 0.0014 , -0.0148 , -0.0046
standing , 2.2095 , -9.5641 , -0.8997 , 0.0088 , 0.0544 , 0.0092
standing , 2.2214 , -9.5593 , -1.0267 , -0.0013 , -0.0585 , -0.0014
standing , 2.1065 , -9.576 , -0.9764 , 0.0115 , 0.0608 , 0.0066
standing , 2.2047 , -9.5904 , -0.9117 , 0.012 , 0.0123 , -0.0179
standing , 2.2167 , -9.5257 , -0.95 , 0.0072 , 0.0038 , -0.0036
standing , 2.14 , -9.5952 , -1.0027 , -0.0013 , -0.0191 , -0.0094
standing , 2.2167 , -9.5497 , -0.9452 , 0.0003 , 0.0038 , 0.0028
standing , 2.164 , -9.5689 , -0.9189 , 0.0056 , -0.0052 , -0.0105
standing , 2.164 , -9.485 , -0.9668 , 0.0077 , -0.0218 , -0.0014
standing , 2.2478 , -9.5305 , -0.8734 , 0.0045 , -0.009 , -0.0078
standing , 2.1855 , -9.5425 , -0.9404 , 0.0077 , 0.0352 , -0.0068
standing , 2.2981 , -9.5665 , -0.9213 , -0.0093 , 0.0219 , 0.0103
standing , 2.1711 , -9.576 , -1.0315 , -0.0024 , 0.0161 , 0.0002
standing , 2.2143 , -9.5329 , -1.0267 , -0.0061 , 0.0203 , 0.0119
standing , 2.1831 , -9.5209 , -0.8949 , 0.0093 , -0.018 , -0.0052
standing , 2.1975 , -9.5473 , -0.9021 , -0.0077 , 0.0336 , 0.014
standing , 2.1687 , -9.5233 , -0.8614 , 0.0035 , 0.007 , 0.0028
standing , 2.2789 , -9.5473 , -0.9117 , 0.0024 , 0.0017 , 0.0066
standing , 2.2526 , -9.5665 , -0.8877 , -0.0034 , 0.0118 , 0.0039
standing , 2.2023 , -9.5281 , -0.8925 , -0.0066 , 0.0448 , 0.0161
standing , 2.2837 , -9.5281 , -0.8973 , 0.0125 , -0.0244 , -0.0094
standing , 2.1903 , -9.5569 , -0.9572 , -0.0136 , 0.0464 , 0.0097
standing , 2.152 , -9.5377 , -0.9692 , -0.0018 , 0.0486 , 0.0129
standing , 2.1208 , -9.5233 , -0.9476 , -0.0072 , 0.0938 , 0.0188
standing , 2.2622 , -9.5066 , -0.9021 , 0.0019 , -0.0074 , -0.0116
standing , 2.1879 , -9.5401 , -0.8566 , 0.0093 , 0.0778 , 0.0034
standing , 2.2262 , -9.5377 , -0.974 , -0.004 , 0.0395 , 0.0129
standing , 2.2885 , -9.5281 , -0.8997 , -0.0056 , 0.0107 , -0.0105
standing , 2.2382 , -9.485 , -0.9883 , -0.0045 , 0.0384 , 0.0295
standing , 2.0657 , -9.5593 , -1.0338 , -0.0125 , -0.0026 , -0.003
standing , 2.2933 , -9.5593 , -0.962 , 0.0136 , -0.0351 , -0.0174
standing , 2.128 , -9.5329 , -0.938 , -0.0018 , 0.0171 , 0.0087
standing , 2.1664 , -9.5257 , -0.8877 , -0.004 , 0.0283 , 0.0018
standing , 2.2214 , -9.509 , -0.9644 , 0.0109 , -0.0266 , -0.0158
standing , 2.2646 , -9.5377 , -0.7895 , -0.0013 , -0.0495 , -0.0148
standing , 2.1089 , -9.5665 , -0.9811 , -0.0093 , 0.0629 , 0.0236
standing , 2.1879 , -9.5617 , -0.8638 , 0.0014 , -0.0058 , -0.0041
standing , 2.3652 , -9.5066 , -0.9811 , -0.0002 , -0.0202 , 0.0066
standing , 2.0418 , -9.612 , -0.9237 , 0.0083 , 0.0097 , 0.0012
standing , 2.2262 , -9.5305 , -1.0051 , 0.0077 , -0.0106 , -0.01
standing , 2.2622 , -9.5737 , -0.859 , -0.0013 , 0.0017 , 0.0039
standing , 2.0777 , -9.5641 , -0.95 , -0.0002 , 0.023 , -0.0046
standing , 2.2478 , -9.5545 , -0.9069 , 0.0029 , 0.0097 , -0.0014
standing , 2.2885 , -9.5689 , -0.9237 , -0.0056 , 0.0097 , 0.0113
standing , 2.1879 , -9.5042 , -0.9835 , -0.004 , 0.0033 , -0.01
standing , 2.0538 , -9.5832 , -0.871 , 0.0173 , 0.0326 , -0.0084
standing , 2.3053 , -9.5233 , -0.859 , -0.0162 , -0.0303 , 0.006
standing , 2.1831 , -9.5784 , -0.9332 , 0.0024 , 0.0427 , -0.0057
standing , 2.2478 , -9.5521 , -0.8422 , 0.0061 , -0.0175 , -0.0062
standing , 2.1616 , -9.5257 , -1.0051 , 0.0045 , -0.0079 , -0.0052
standing , 2.2167 , -9.5329 , -0.9979 , -0.0008 , -0.0068 , -0.0068
standing , 2.1759 , -9.5784 , -0.9093 , 0.0045 , 0.0608 , 0.0076
standing , 2.0897 , -9.5281 , -0.9332 , -0.0002 , -0.0266 , 0.0034
standing , 2.0921 , -9.5713 , -1.0171 , 0.0019 , 0.0182 , -0.0057
standing , 2.3173 , -9.5521 , -0.9596 , 0.0024 , -0.0042 , 0.0012
standing , 2.1496 , -9.5281 , -0.9308 , 0.0136 , -0.01 , -0.0116
standing , 2.1664 , -9.5521 , -0.9548 , -0.0018 , 0.0539 , 0.0135
standing , 2.1328 , -9.5473 , -0.9165 , 0.0029 , -0.0052 , -0.0052
standing , 2.1376 , -9.5545 , -0.9907 , -0.0034 , -0.017 , -0.0041
standing , 2.2238 , -9.5162 , -0.9716 , 0.0035 , 0.0374 , 0.0034
standing , 2.1472 , -9.5497 , -0.9189 , 0.0019 , 0.0129 , 0.0023
standing , 2.1927 , -9.5569 , -0.9548 , -0.0029 , -0.0281 , -0.0089
standing , 2.1951 , -9.5617 , -1.0243 , 0.0056 , 0.0507 , 0.0028
standing , 2.1448 , -9.5689 , -0.9524 , -0.0008 , -0.0074 , -0.0025
standing , 2.1879 , -9.5808 , -0.9069 , -0.0024 , 0.0139 , 0.006
standing , 2.1903 , -9.5425 , -0.9835 , 0.0024 , 0.0225 , 0.0012
standing , 2.1783 , -9.5545 , -0.9764 , 0.0072 , 0.007 , -0.0089
standing , 2.2238 , -9.5305 , -0.9261 , -0.0082 , 0.0038 , 0.0097
standing , 2.1903 , -9.5784 , -0.9907 , 0.0099 , 0.0118 , -0.0052
standing , 2.2837 , -9.5377 , -0.9069 , 0.0035 , 0.0145 , -0.002
standing , 2.0777 , -9.5904 , -0.9452 , -0.0008 , 0.0225 , 0.0028
standing , 2.2574 , -9.4922 , -1.0338 , 0.0014 , 0.0246 , 0.0023
standing , 2.152 , -9.5665 , -0.9907 , 0.0077 , 0.0134 , -0.0089
standing , 2.2598 , -9.5186 , -0.9237 , -0.0136 , 0.0326 , 0.0039
standing , 2.2047 , -9.5281 , -0.9716 , -0.0045 , 0.0326 , -0.0057
standing , 2.2765 , -9.5281 , -0.9955 , -0.0077 , 0.0299 , -0.0004
standing , 2.1017 , -9.6072 , -1.0315 , -0.0034 , 0.0587 , -0.003
standing , 2.3221 , -9.5401 , -0.9596 , -0.0018 , 0.0336 , -0.0068
standing , 2.1376 , -9.5545 , -1.0099 , 0.0014 , -0.0138 , -0.0116
standing , 2.2095 , -9.5209 , -0.9596 , 0.0029 , 0.0235 , 0.0007
standing , 2.2502 , -9.5162 , -0.8901 , 0.012 , -0.0148 , -0.0062
standing , 2.2214 , -9.5545 , -1.0099 , 0.0104 , 0.0193 , -0.003
standing , 2.1208 , -9.5425 , -0.9021 , 0.0088 , 0.0017 , -0.01
standing , 2.2813 , -9.5138 , -0.8853 , -0.004 , -0.0084 , 0.0055
standing , 2.14 , -9.5186 , -1.0027 , 0.0211 , -0.0276 , -0.0158
standing , 2.2143 , -9.5521 , -0.8542 , -0.0098 , 0.032 , 0.006
standing , 2.1927 , -9.5545 , -0.9165 , 0.0109 , -0.0079 , 0.0055
standing , 2.2382 , -9.5497 , -1.0075 , 0.0067 , 0.0193 , -0.0062
standing , 2.2694 , -9.5377 , -0.9835 , 0.0125 , 0.0118 , -0.0078
standing , 2.2861 , -9.5209 , -0.9859 , 0.0003 , -0.0202 , 0.0007
standing , 2.267 , -9.5138 , -0.9979 , 0.0104 , -0.0122 , -0.0073
standing , 2.3197 , -9.5114 , -0.9332 , 0.0141 , -0.0356 , -0.0094
standing , 2.255 , -9.5186 , -0.9404 , 0.0014 , 0.0395 , 0.0145
standing , 2.334 , -9.5401 , -0.9716 , 0.0072 , -0.0281 , 0.0023
standing , 2.2047 , -9.5377 , -0.9644 , 0.0109 , 0.0086 , -0.01
standing , 2.3388 , -9.5257 , -0.8566 , -0.0034 , -0.0122 , 0.0081
standing , 2.2262 , -9.497 , -0.9596 , 0.004 , 0.0539 , 0.0097
standing , 2.2334 , -9.5521 , -0.8207 , 0.0008 , -0.0095 , -0.003
standing , 2.3316 , -9.4898 , -0.8949 , -0.0002 , 0.0113 , -0.002
standing , 2.2885 , -9.5186 , -0.9668 , -0.0029 , -0.0106 , -0.0009
standing , 2.2191 , -9.5281 , -0.9668 , -0.0045 , 0.0294 , 0.0113
standing , 2.3316 , -9.5233 , -0.9213 , 0.0083 , 0.0225 , -0.0014
standing , 2.2502 , -9.4922 , -0.9213 , 0.0019 , 0.0209 , 0.0076
